71,27
17,99
58,27
13,47
95,40
0,23
40,94
22,95
31,27
36,89
56,46
1,66
63,71
19,89
68,8
7,60
84,1
31,89
41,28
26,90
83,86
6,34
94,15
58,52
26,66
6,38
96,82
45,92
64,42
75,53
19,39
16,80
10,21
11,42
33,98
53,46
53,17
87,67
72,95
60,14
63,2
49,69
64,49
30,60
91,49
64,31
15,77
67,14
65,61
52,37
41,84
80,55
85,50
76,1
31,25
67,16
29,8
90,17
90,94
63,8
91,51
98,84
34,69
78,23
50,20
49,58
43,23
73,26
22,94
84,14
20,76
29,13
29,95
49,54
87,97
24,71
98,44
93,90
86,43
21,63
19,53
98,58
76,9
73,6
82,64
95,96
10,49
35,62
69,32
55,86
